,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
28,2024-07-29,4,1,2,0,0,1,6,2,4,3,21,36,"(1, 0, 0)","(2, 0, 3)","(2, 1, 0)","(0, 1, 0)",Japan,,,,,,,,"(1, 0, 0)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-07-29,3,5,0,0,1,0,5,8,3,3,24,48,"(1, 3, 0)","(0, 2, 3)",,"(1, 0, 0)",France,"(1, 0, 0)",,"(1, 1, 0)",,"(1, 0, 0)","(0, 1, 0)",,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2024-07-29,3,2,0,1,0,0,5,5,2,3,15,36,,,,"(0, 2, 2)",China,,,,"(2, 0, 0)",,"(0, 1, 0)","(3, 1, 0)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2024-07-29,0,2,0,0,1,0,5,4,0,3,6,27,,,,"(3, 3, 0)",Australia,"(1, 0, 0)","(1, 0, 0)",,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2024-07-29,2,0,1,0,1,0,5,3,1,3,9,27,"(1, 0, 0)","(0, 1, 0)",,"(0, 0, 1)",Korea,,,,,,"(2, 0, 0)","(2, 2, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2024-07-29,1,2,6,3,8,9,2,6,3,60,27,33,"(1, 1, 1)",,"(0, 1, 1)","(2, 4, 5)",United States,,"(0, 0, 1)","(0, 1, 0)","(0, 1, 0)",,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2024-07-29,1,4,0,1,0,1,2,5,3,6,15,30,,,,"(0, 2, 0)",Great Britain,"(0, 1, 1)","(0, 1, 0)","(1, 0, 0)","(0, 1, 1)",,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2024-07-29,2,3,3,2,3,3,0,0,0,24,24,0,"(0, 1, 1)",,,"(2, 0, 1)",Italy,,"(0, 1, 0)",,,,,"(0, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2024-07-29,0,0,1,2,1,2,2,1,1,15,3,12,"(0, 0, 1)","(1, 0, 0)",,"(1, 1, 0)",Canada,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2024-07-29,1,0,0,2,0,1,1,0,1,9,3,6,"(2, 0, 0)",,,"(0, 0, 1)","Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
