,date,country,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
326,2024-08-04,Japan,7,3,3,9,5,10,2,1,5,24,13,8,"(2, 1, 2)","(3, 2, 3)","(2, 1, 0)","(0, 1, 0)",,,,,,,,"(2, 0, 0)","(0, 0, 1)","(0, 0, 1)",,,,,"(0, 0, 2)",,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,
327,2024-08-04,Italy,3,7,5,7,10,5,4,3,0,22,15,7,"(1, 3, 1)","(1, 0, 0)",,"(2, 1, 2)","(1, 0, 0)","(0, 1, 0)",,,,,"(0, 2, 1)","(0, 1, 0)",,,,,"(0, 2, 0)",,,"(1, 0, 1)",,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,
328,2024-08-04,Netherlands,1,2,3,6,5,4,4,3,1,15,6,8,,,,"(0, 0, 2)",,"(0, 1, 0)",,,,,,,,,,,"(4, 3, 1)","(1, 0, 0)",,,,"(0, 1, 0)","(1, 0, 1)",,,,,,,,,,,,,,,,,,
329,2024-08-04,Germany,2,1,0,5,5,2,0,2,2,12,3,4,,"(0, 1, 0)",,"(1, 0, 1)","(0, 1, 0)",,,,,"(0, 1, 0)",,,"(3, 1, 0)",,,,"(1, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,
330,2024-08-04,Canada,1,1,4,5,4,8,4,3,3,17,6,10,"(0, 0, 1)","(1, 0, 0)",,"(3, 2, 3)",,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,"(0, 1, 0)","(1, 0, 0)",,"(0, 0, 1)","(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
331,2024-08-04,Hungary,3,3,0,3,3,2,0,0,2,8,6,2,"(1, 1, 1)",,,"(2, 1, 0)",,,,,,,"(0, 0, 1)",,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,
332,2024-08-04,Romania,2,0,1,3,3,1,1,3,0,7,3,4,,,,"(1, 0, 1)",,,,,,,,,,,,,"(2, 3, 0)",,,,,,,,,,,,,,,,,,,,,,,,
333,2024-08-04,Ireland,3,0,2,3,0,3,0,0,1,6,5,1,,,,"(1, 0, 2)",,,,,,,,"(1, 0, 0)",,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,
334,2024-08-04,New Zealand,0,3,0,2,4,1,2,1,1,7,3,4,,,,,,,,,"(1, 0, 0)",,,,,,,"(0, 1, 0)","(1, 2, 1)",,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,
335,2024-08-04,Sweden,0,2,0,2,3,2,2,1,2,7,2,5,,"(0, 0, 1)",,"(2, 0, 0)",,,"(0, 0, 1)",,,,"(0, 1, 0)",,,"(0, 1, 0)",,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,
336,2024-08-04,Ukraine,0,1,1,2,1,3,2,0,2,6,2,4,"(1, 0, 1)",,,,,,,,,,"(0, 1, 0)",,,,,,,"(1, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,
337,2024-08-04,Croatia,1,0,1,2,1,1,1,1,0,4,2,2,,"(1, 0, 0)",,,,,,,,,"(0, 0, 1)",,,,,,"(1, 0, 0)",,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,
338,2024-08-04,Belgium,2,0,1,2,0,3,0,0,2,5,3,2,,"(0, 0, 1)",,,,"(2, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2024-08-04,"Hong Kong, China",1,0,0,2,0,2,1,0,2,4,1,3,"(2, 0, 0)",,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2024-08-04,Azerbaijan,2,0,0,2,0,0,0,0,0,2,2,0,,"(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2024-08-04,Philippines,2,0,0,2,0,0,0,0,0,2,2,0,,,,,,,,,,,,"(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,2024-08-04,Serbia,1,0,0,2,0,0,0,0,0,2,1,0,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,
343,2024-08-04,Brazil,0,2,0,1,4,5,1,2,4,10,2,7,,"(1, 1, 2)","(0, 0, 1)",,,,,,,,,"(0, 2, 1)",,,,,,"(0, 1, 0)",,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
344,2024-08-04,Israel,1,1,1,1,4,1,0,3,0,6,3,3,,"(0, 2, 1)",,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,"(1, 1, 0)",,,,,,,,,,,,,,,,,,
345,2024-08-04,Spain,1,1,4,1,2,5,0,1,1,8,6,2,,"(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,"(0, 1, 1)",,"(0, 1, 1)",,,"(1, 0, 0)","(0, 0, 1)",,,,,,,,,,,,,,,,,
346,2024-08-04,Georgia,1,2,1,1,2,1,0,0,0,4,4,0,,"(1, 2, 0)",,,,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
347,2024-08-04,Switzerland,0,0,2,1,1,4,1,1,2,6,2,4,,,,"(0, 0, 1)",,,,,,,"(1, 0, 1)",,,,,"(0, 1, 0)","(0, 0, 1)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,
348,2024-08-04,Kazakhstan,1,1,1,1,1,2,0,0,0,4,3,0,,"(1, 0, 1)",,,,,,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2024-08-04,South Africa,0,0,2,1,1,2,1,1,0,4,2,2,,,,"(1, 1, 0)",,,"(0, 0, 1)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,2024-08-04,Chinese Taipei,1,0,1,1,0,2,0,0,1,3,2,1,,,,,,,,,,,"(0, 0, 1)",,,,,,,,"(1, 0, 0)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
351,2024-08-04,Uzbekistan,0,0,2,1,0,2,1,0,0,3,2,1,,"(1, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,2024-08-04,Czechia,0,0,1,1,0,1,0,0,0,2,1,0,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,
353,2024-08-04,Guatemala,0,0,1,1,0,1,1,0,0,2,1,1,,,,,,,,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,2024-08-04,Algeria,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2024-08-04,Argentina,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,
356,2024-08-04,Chile,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2024-08-04,Dominica,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
358,2024-08-04,Ecuador,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
359,2024-08-04,Saint Lucia,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
360,2024-08-04,Norway,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
361,2024-08-04,Slovenia,1,0,0,1,0,0,0,0,0,1,1,0,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,2024-08-04,Uganda,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
363,2024-08-04,Jamaica,0,1,1,0,2,1,0,1,0,3,2,1,,,,,,,,,,,,,,,,,,"(0, 2, 1)",,,,,,,,,,,,,,,,,,,,,,,
364,2024-08-04,Mexico,0,1,0,0,2,1,0,1,1,3,1,2,,"(0, 1, 0)",,,,,,"(0, 1, 0)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2024-08-04,DPR Korea,0,2,1,0,1,1,0,0,0,2,3,0,,,,,,,,"(0, 1, 0)",,,,,,"(0, 1, 0)",,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
366,2024-08-04,Greece,0,1,3,0,1,4,0,0,1,5,4,1,,"(0, 0, 1)",,"(0, 1, 0)",,,,,,,,"(0, 0, 1)",,,,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,
367,2024-08-04,Poland,0,0,1,0,1,3,0,1,2,4,1,3,"(0, 0, 1)",,,,"(0, 1, 0)",,,,,,,,,,,,"(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,
368,2024-08-04,Kosovo,0,1,1,0,1,1,0,0,0,2,2,0,,"(0, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2024-08-04,Türkiye,0,0,1,0,1,1,0,0,0,2,1,0,,,,,,,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,2024-08-04,Armenia,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2024-08-04,Denmark,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,2024-08-04,Ethiopia,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,
373,2024-08-04,Fiji,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,2024-08-04,Mongolia,0,1,0,0,1,0,0,0,0,1,1,0,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2024-08-04,Tunisia,0,1,0,0,1,0,0,0,0,1,1,0,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,2024-08-04,India,0,0,1,0,0,3,0,0,1,3,1,1,,,,,,,,,,,"(0, 0, 3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,2024-08-04,Tajikistan,0,0,3,0,0,3,0,0,0,3,3,0,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
378,2024-08-04,Dominican Republic,0,0,2,0,0,2,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 2)",,,,,,,,,,,,,,,,,
379,2024-08-04,Republic of Moldova,0,0,2,0,0,2,0,0,0,2,2,0,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2024-08-04,Austria,0,0,1,0,0,1,0,0,0,1,1,0,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,2024-08-04,Cabo Verde,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
382,2024-08-04,Cuba,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
383,2024-08-04,Egypt,0,0,1,0,0,1,0,0,0,1,1,0,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2024-08-04,Grenada,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,
385,2024-08-04,Indonesia,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,
386,2024-08-04,Lithuania,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,
387,2024-08-04,Malaysia,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,
388,2024-08-04,Portugal,0,0,1,0,0,1,0,0,0,1,1,0,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2024-08-04,Slovakia,0,0,1,0,0,1,0,0,0,1,1,0,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,2024-08-05,United States,7,10,12,21,30,28,13,16,15,79,29,44,"(2, 1, 1)",,"(0, 1, 1)","(8, 13, 7)","(0, 0, 1)","(1, 0, 1)","(0, 1, 0)","(0, 1, 0)","(0, 0, 1)","(0, 1, 1)","(1, 3, 1)","(3, 1, 6)","(0, 1, 0)",,"(0, 1, 0)","(0, 1, 0)","(1, 0, 1)","(3, 4, 4)",,"(0, 1, 1)",,,"(0, 0, 1)",,"(1, 0, 0)","(0, 0, 1)","(1, 0, 0)",,,,,,,,,,,,,,
391,2024-08-05,China,11,7,5,21,18,14,7,9,8,53,23,24,,"(0, 0, 1)",,"(2, 3, 7)",,,,"(4, 0, 0)",,"(0, 1, 0)","(5, 2, 3)","(2, 5, 2)",,"(3, 1, 0)","(1, 0, 0)",,,"(1, 1, 0)","(2, 3, 0)","(1, 1, 0)","(0, 1, 1)",,,,,,,,,,,,,,,,,,,,
392,2024-08-05,France,9,9,10,13,16,19,3,6,8,48,28,17,"(1, 4, 2)","(2, 2, 6)",,"(4, 1, 2)","(1, 2, 0)","(0, 1, 1)","(1, 1, 0)",,"(1, 0, 0)","(0, 1, 1)","(0, 1, 0)",,"(0, 1, 1)","(0, 0, 1)","(0, 0, 1)","(1, 0, 1)",,,,,,"(1, 1, 1)","(0, 0, 1)",,,"(0, 1, 0)","(1, 0, 1)",,,,,,,,,,,,,,
393,2024-08-05,Australia,2,6,1,13,12,8,11,5,6,33,9,22,,,,"(7, 8, 3)","(3, 0, 0)","(1, 0, 0)",,,,,"(0, 0, 1)",,"(0, 1, 0)",,"(0, 0, 1)",,"(0, 0, 1)","(0, 1, 2)",,"(1, 0, 0)",,"(1, 0, 0)","(0, 1, 0)",,,,"(0, 1, 0)",,,,,,,,,,,,,,
394,2024-08-05,Great Britain,5,10,4,12,13,17,5,3,8,42,19,16,,,,"(1, 4, 0)","(0, 2, 2)","(0, 1, 0)","(1, 0, 0)","(0, 1, 3)",,,"(1, 1, 0)","(0, 0, 2)","(2, 0, 3)",,"(0, 1, 0)","(1, 0, 2)","(3, 2, 3)","(1, 0, 1)",,,"(1, 0, 0)",,"(0, 0, 1)",,"(0, 1, 0)",,,"(1, 0, 0)",,,,,,,,,,,,,
395,2024-08-05,Korea,4,2,3,11,8,7,6,4,2,26,9,12,"(2, 1, 0)","(0, 2, 3)",,"(0, 0, 1)",,,,,,"(5, 1, 1)","(3, 3, 0)",,,"(0, 0, 1)",,,,,"(1, 1, 0)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
396,2024-08-05,Japan,8,3,4,10,5,11,2,1,5,26,15,8,"(2, 1, 2)","(3, 2, 3)","(2, 1, 0)","(0, 1, 0)",,,,,,,,"(3, 0, 1)","(0, 0, 1)","(0, 0, 1)",,,,,"(0, 0, 2)",,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,
397,2024-08-05,Italy,3,7,5,9,10,6,5,3,1,25,15,9,"(1, 3, 1)","(1, 0, 0)",,"(2, 1, 2)","(1, 0, 0)","(0, 1, 0)",,,,,"(1, 2, 1)","(1, 1, 1)",,,,,"(0, 2, 0)",,,"(1, 0, 1)",,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,
398,2024-08-05,Netherlands,2,2,3,7,5,5,4,3,2,17,7,9,,,,"(0, 0, 2)",,"(0, 1, 0)",,,,,,,,,,,"(4, 3, 1)","(1, 0, 1)",,,,"(0, 1, 0)","(1, 0, 1)",,,"(1, 0, 0)",,,,,,,,,,,,,,,
399,2024-08-05,Germany,2,1,1,7,5,4,1,2,3,16,4,6,,"(0, 1, 0)",,"(1, 0, 1)","(0, 1, 1)",,,,,"(0, 1, 0)",,,"(3, 1, 0)",,,"(1, 0, 0)","(1, 0, 1)","(0, 1, 0)",,,,,,,,"(1, 0, 0)",,"(0, 0, 1)",,,,,,,,,,,,,
400,2024-08-05,Canada,1,1,4,5,4,8,4,3,3,17,6,10,"(0, 0, 1)","(1, 0, 0)",,"(3, 2, 3)",,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,"(0, 1, 0)","(1, 0, 0)",,"(0, 0, 1)","(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
401,2024-08-05,New Zealand,1,3,0,3,5,1,2,2,1,9,4,5,,,,,"(1, 0, 0)",,,,"(1, 0, 0)",,,,,,,"(0, 1, 0)","(1, 2, 1)",,,,,,"(0, 1, 0)",,,,,"(0, 1, 0)",,,,,,,,,,,,,
402,2024-08-05,Hungary,3,3,0,3,3,2,0,0,2,8,6,2,"(1, 1, 1)",,,"(2, 1, 0)",,,,,,,"(0, 0, 1)",,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,
403,2024-08-05,Sweden,1,2,0,3,3,2,2,1,2,8,3,5,,"(0, 0, 1)",,"(2, 0, 0)",,,"(0, 0, 1)",,,,"(0, 1, 0)",,,"(0, 1, 0)",,,,"(1, 0, 0)",,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,
404,2024-08-05,Romania,2,0,1,3,3,1,1,3,0,7,3,4,,,,"(1, 0, 1)",,,,,,,,,,,,,"(2, 3, 0)",,,,,,,,,,,,,,,,,,,,,,,,
405,2024-08-05,Ireland,3,0,2,3,0,3,0,0,1,6,5,1,,,,"(1, 0, 2)",,,,,,,,"(1, 0, 0)",,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,
406,2024-08-05,Brazil,0,2,1,2,5,6,2,3,4,13,3,9,,"(1, 1, 2)","(0, 0, 1)",,,,,,,,,"(1, 2, 1)",,,,,,"(0, 1, 0)",,,,,,"(0, 0, 1)",,,"(0, 1, 1)",,,,,,,,,,,,,,
407,2024-08-05,Ukraine,0,2,1,2,2,3,2,0,2,7,3,4,"(1, 0, 1)",,,,,,,,,,"(0, 1, 0)","(0, 1, 0)",,,,,,"(1, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,
408,2024-08-05,Croatia,1,0,1,2,1,2,1,1,1,5,2,3,,"(1, 0, 0)",,,,,,,,,"(0, 0, 1)",,,,,,"(1, 0, 0)","(0, 0, 1)",,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,
409,2024-08-05,Belgium,2,0,1,2,0,3,0,0,2,5,3,2,,"(0, 0, 1)",,,,"(2, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2024-08-05,"Hong Kong, China",1,0,0,2,0,2,1,0,2,4,1,3,"(2, 0, 0)",,,"(0, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2024-08-05,Azerbaijan,2,0,0,2,0,0,0,0,0,2,2,0,,"(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2024-08-05,Philippines,2,0,0,2,0,0,0,0,0,2,2,0,,,,,,,,,,,,"(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2024-08-05,Serbia,1,0,0,2,0,0,0,0,0,2,1,0,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,
414,2024-08-05,Israel,1,1,1,1,4,1,0,3,0,6,3,3,,"(0, 2, 1)",,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,"(1, 1, 0)",,,,,,,,,,,,,,,,,,
415,2024-08-05,Spain,1,1,4,1,3,5,0,2,1,9,6,3,,"(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,"(0, 1, 1)",,"(0, 1, 1)",,,"(1, 0, 0)","(0, 0, 1)",,"(0, 1, 0)",,,,,,,,,,,,,,,
416,2024-08-05,Georgia,1,2,1,1,2,1,0,0,0,4,4,0,,"(1, 2, 0)",,,,,,,,,,,,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
417,2024-08-05,Switzerland,0,0,2,1,1,4,1,1,2,6,2,4,,,,"(0, 0, 1)",,,,,,,"(1, 0, 1)",,,,,"(0, 1, 0)","(0, 0, 1)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,
418,2024-08-05,Kazakhstan,1,1,1,1,1,2,0,0,0,4,3,0,,"(1, 0, 1)",,,,,,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2024-08-05,South Africa,0,0,2,1,1,2,1,1,0,4,2,2,,,,"(1, 1, 0)",,,"(0, 0, 1)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2024-08-05,Kenya,1,1,1,1,1,1,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,"(1, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,
421,2024-08-05,Denmark,1,0,0,1,1,0,0,0,0,2,1,0,,,,,,,,,,,,,"(0, 1, 0)",,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,
422,2024-08-05,Chinese Taipei,1,0,2,1,0,3,0,0,1,4,3,1,,,,,,,,,,,"(0, 0, 1)","(0, 0, 1)",,,,,,,"(1, 0, 0)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
423,2024-08-05,Uzbekistan,0,0,2,1,0,2,1,0,0,3,2,1,,"(1, 0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,2024-08-05,Czechia,0,0,1,1,0,1,0,0,0,2,1,0,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,
425,2024-08-05,Guatemala,0,0,1,1,0,1,1,0,0,2,1,1,,,,,,,,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,2024-08-05,Algeria,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,2024-08-05,Argentina,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,
428,2024-08-05,Chile,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,2024-08-05,Dominica,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
430,2024-08-05,Ecuador,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
431,2024-08-05,Saint Lucia,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
432,2024-08-05,Norway,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
433,2024-08-05,Slovenia,1,0,0,1,0,0,0,0,0,1,1,0,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,2024-08-05,Uganda,1,0,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,
435,2024-08-05,Jamaica,0,1,1,0,2,1,0,1,0,3,2,1,,,,,,,,,,,,,,,,,,"(0, 2, 1)",,,,,,,,,,,,,,,,,,,,,,,
436,2024-08-05,Mexico,0,1,0,0,2,1,0,1,1,3,1,2,,"(0, 1, 0)",,,,,,"(0, 1, 0)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,2024-08-05,DPR Korea,0,2,1,0,1,1,0,0,0,2,3,0,,,,,,,,"(0, 1, 0)",,,,,,"(0, 1, 0)",,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,
438,2024-08-05,Ethiopia,0,1,0,0,2,0,0,1,0,2,1,1,,,,,,,,,,,,,,,,,,"(0, 2, 0)",,,,,,,,,,,,,,,,,,,,,,,
439,2024-08-05,Greece,0,1,4,0,1,5,0,0,1,6,5,1,,"(0, 0, 1)",,"(0, 1, 0)",,,,,,,,"(0, 0, 1)",,,,,"(0, 0, 2)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,
440,2024-08-05,Poland,0,0,1,0,1,3,0,1,2,4,1,3,"(0, 0, 1)",,,,"(0, 1, 0)",,,,,,,,,,,,"(0, 0, 1)",,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,
441,2024-08-05,Kosovo,0,1,1,0,1,1,0,0,0,2,2,0,,"(0, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,2024-08-05,Türkiye,0,0,1,0,1,1,0,0,0,2,1,0,,,,,,,,,,"(0, 0, 1)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,2024-08-05,Armenia,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,2024-08-05,Colombia,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2024-08-05,Fiji,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,2024-08-05,Mongolia,0,1,0,0,1,0,0,0,0,1,1,0,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,2024-08-05,Thailand,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,
