,Japan,Australia,United States,France,Korea,China,Italy,Kazakhstan,Belgium,Germany,"Hong Kong, China",Uzbekistan,Great Britain,Brazil,Canada,Fiji,Kosovo,Mongolia,Poland,Tunisia,Sweden,Egypt,Spain,Hungary,India,Republic of Moldova,Mexico,South Africa,Azerbaijan,Romania,Croatia,Ireland,Switzerland,Slovakia,Türkiye,Ukraine
0,"{'date': '20240728', 'total_gold': 4, 'total_silver': 2, 'total_bronze': 1, 'men_gold': 2, 'men_silver': 1, 'men_bronze': 1, 'women_gold': 2, 'women_silver': 1, 'women_bronze': 0, 'Fencing': (1, 0, 0), 'Judo': (2, 0, 1), 'Skateboarding': (1, 1, 0), 'Swimming': (0, 1, 0)}","{'date': '20240728', 'total_gold': 4, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 2, 'men_bronze': 0, 'women_gold': 4, 'women_silver': 2, 'women_bronze': 0, 'Canoe Slalom': (1, 0, 0), 'Cycling Road': (1, 0, 0), 'Swimming': (2, 2, 0)}","{'date': '20240728', 'total_gold': 1, 'total_silver': 1, 'total_bronze': 1, 'men_gold': 2, 'men_silver': 5, 'men_bronze': 2, 'women_gold': 3, 'women_silver': 6, 'women_bronze': 3, 'Cycling Mountain Bike': (0, 1, 0), 'Cycling Road': (0, 0, 1), 'Diving': (0, 1, 0), 'Fencing': (1, 1, 0), 'Swimming': (2, 3, 2)}","{'date': '20240728', 'total_gold': 2, 'total_silver': 2, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 1, 'men_bronze': 2, 'women_gold': 3, 'women_silver': 3, 'women_bronze': 2, 'Cycling Mountain Bike': (1, 0, 0), 'Fencing': (0, 2, 0), 'Judo': (0, 1, 2), 'Rugby Sevens': (1, 0, 0), 'Swimming': (1, 0, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 2, 'women_silver': 1, 'women_bronze': 0, 'Archery': (1, 0, 0), 'Fencing': (1, 0, 0), 'Shooting': (1, 2, 0), 'Swimming': (0, 0, 1)}","{'date': '20240728', 'total_gold': 1, 'total_silver': 1, 'total_bronze': 2, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Archery': (0, 1, 0), 'Diving': (1, 0, 0), 'Shooting': (2, 0, 0), 'Swimming': (0, 0, 2)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 2, 'men_bronze': 3, 'women_gold': 1, 'women_silver': 2, 'women_bronze': 3, 'Cycling Road': (0, 1, 0), 'Fencing': (0, 0, 1), 'Shooting': (0, 1, 1), 'Swimming': (1, 0, 1)}","{'date': '20240728', 'total_gold': 1, 'total_silver': 0, 'total_bronze': 2, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 1, 'Judo': (1, 0, 1), 'Shooting': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 1, 'Cycling Road': (1, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Swimming': (1, 0, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Fencing': (1, 0, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Judo': (1, 0, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 2, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 2, 'women_bronze': 2, 'Canoe Slalom': (0, 0, 1), 'Cycling Road': (0, 1, 0), 'Diving': (0, 0, 1), 'Swimming': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 2, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 2, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Judo': (0, 1, 1), 'Skateboarding': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 1, 'Fencing': (0, 0, 1), 'Swimming': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Rugby Sevens': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Judo': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Judo': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Canoe Slalom': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Fencing': (0, 1, 0)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 2, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 2, 'Cycling Mountain Bike': (0, 0, 1), 'Judo': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Judo': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Shooting': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Judo': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Archery': (0, 0, 1)}","{'date': '20240728', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Rugby Sevens': (0, 0, 1)}",,,,,,,,
1,"{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 1, 'men_gold': 6, 'men_silver': 2, 'men_bronze': 4, 'women_gold': 4, 'women_silver': 1, 'women_bronze': 2, 'Artistic Gymnastics': (1, 0, 0), 'Equestrian': (0, 0, 1), 'Fencing': (1, 0, 0), 'Judo': (2, 0, 3), 'Skateboarding': (2, 1, 0), 'Swimming': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 0, 'men_gold': 5, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 2, 'women_bronze': 0, 'Canoe Slalom': (1, 0, 0), 'Cycling Road': (1, 0, 0), 'Equestrian': (0, 1, 0), 'Swimming': (3, 3, 0)}","{'date': '20240729', 'total_gold': 2, 'total_silver': 6, 'total_bronze': 3, 'men_gold': 3, 'men_silver': 8, 'men_bronze': 9, 'women_gold': 1, 'women_silver': 2, 'women_bronze': 6, 'Artistic Gymnastics': (0, 0, 1), 'Cycling Mountain Bike': (0, 1, 0), 'Cycling Road': (0, 0, 1), 'Diving': (0, 1, 0), 'Fencing': (1, 1, 1), 'Skateboarding': (0, 1, 1), 'Swimming': (2, 4, 5)}","{'date': '20240729', 'total_gold': 5, 'total_silver': 8, 'total_bronze': 3, 'men_gold': 3, 'men_silver': 5, 'men_bronze': 0, 'women_gold': 2, 'women_silver': 2, 'women_bronze': 3, 'Archery': (0, 1, 0), 'Canoe Slalom': (1, 0, 0), 'Cycling Mountain Bike': (1, 1, 0), 'Equestrian': (0, 1, 0), 'Fencing': (1, 3, 0), 'Judo': (0, 2, 3), 'Rugby Sevens': (1, 0, 0), 'Swimming': (1, 0, 0)}","{'date': '20240729', 'total_gold': 5, 'total_silver': 3, 'total_bronze': 1, 'men_gold': 3, 'men_silver': 2, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Archery': (2, 0, 0), 'Fencing': (1, 0, 0), 'Judo': (0, 1, 0), 'Shooting': (2, 2, 0), 'Swimming': (0, 0, 1)}","{'date': '20240729', 'total_gold': 1, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 3, 'men_silver': 2, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 3, 'women_bronze': 2, 'Archery': (0, 1, 0), 'Artistic Gymnastics': (0, 1, 0), 'Diving': (2, 0, 0), 'Shooting': (3, 1, 0), 'Swimming': (0, 2, 2)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 2, 'men_silver': 3, 'men_bronze': 3, 'women_gold': 2, 'women_silver': 3, 'women_bronze': 3, 'Cycling Road': (0, 1, 0), 'Fencing': (0, 1, 1), 'Shooting': (0, 1, 1), 'Swimming': (2, 0, 1)}","{'date': '20240729', 'total_gold': 1, 'total_silver': 0, 'total_bronze': 1, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 2, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Judo': (1, 0, 1), 'Shooting': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 1, 'Cycling Road': (1, 0, 1)}","{'date': '20240729', 'total_gold': 2, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Equestrian': (1, 0, 0), 'Swimming': (1, 0, 0)}","{'date': '20240729', 'total_gold': 1, 'total_silver': 0, 'total_bronze': 1, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 2, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (2, 0, 0), 'Swimming': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Judo': (1, 0, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 2, 'men_gold': 1, 'men_silver': 4, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 1, 'Canoe Slalom': (0, 1, 1), 'Cycling Mountain Bike': (1, 0, 0), 'Cycling Road': (0, 1, 0), 'Diving': (0, 1, 1), 'Equestrian': (1, 0, 1), 'Swimming': (0, 2, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 2, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 2, 'Judo': (0, 1, 1), 'Skateboarding': (0, 0, 1)}","{'date': '20240729', 'total_gold': 2, 'total_silver': 1, 'total_bronze': 1, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 2, 'women_silver': 1, 'women_bronze': 2, 'Diving': (0, 0, 1), 'Fencing': (0, 0, 1), 'Judo': (1, 0, 0), 'Swimming': (1, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Rugby Sevens': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Judo': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Judo': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Canoe Slalom': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 1, 'women_bronze': 0, 'Fencing': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 1, 'total_bronze': 2, 'men_gold': 0, 'men_silver': 1, 'men_bronze': 0, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 2, 'Cycling Mountain Bike': (0, 0, 1), 'Judo': (0, 0, 1), 'Shooting': (0, 1, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Judo': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Shooting': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 2, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 2, 'Judo': (0, 0, 2)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Archery': (0, 0, 1)}","{'date': '20240729', 'total_gold': 1, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 2, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 2, 'Cycling Mountain Bike': (0, 0, 1), 'Rugby Sevens': (0, 0, 1), 'Swimming': (1, 0, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Judo': (1, 0, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 1, 'men_silver': 0, 'men_bronze': 0, 'women_gold': 1, 'women_silver': 0, 'women_bronze': 0, 'Swimming': (1, 0, 0)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Shooting': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Swimming': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Shooting': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Canoe Slalom': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Archery': (0, 0, 1)}","{'date': '20240729', 'total_gold': 0, 'total_silver': 0, 'total_bronze': 0, 'men_gold': 0, 'men_silver': 0, 'men_bronze': 1, 'women_gold': 0, 'women_silver': 0, 'women_bronze': 1, 'Fencing': (0, 0, 1)}"
